epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94726,1.41134,2.01602,1.5577,0.81952,0.65556,0.78573,0.5324,1.03726,1.64663,1.16564,0.00058,0.00058,0.00058
2,13.667,1.36977,1.47295,1.51433,0.74936,0.63333,0.73503,0.46377,1.21693,1.57521,1.27004,0.00115664,0.00115664,0.00115664
3,20.858,1.41106,1.45605,1.54492,0.78244,0.6,0.70253,0.39477,1.45907,1.61201,1.55144,0.00170951,0.00170951,0.00170951
4,26.4068,1.41497,1.39452,1.52224,0.50753,0.51111,0.48308,0.21836,1.99215,1.95183,1.98382,0.0018812,0.0018812,0.0018812
5,33.4078,1.38944,1.354,1.51665,0.78978,0.68889,0.79189,0.45595,1.27168,1.34074,1.49565,0.0018416,0.0018416,0.0018416
6,38.8923,1.35751,1.30659,1.49248,0.5332,0.50769,0.52673,0.28636,1.3666,1.70456,1.47289,0.001802,0.001802,0.001802
7,45.3171,1.31776,1.22656,1.45084,0.74682,0.63333,0.75287,0.47889,1.18264,1.70952,1.4433,0.0017624,0.0017624,0.0017624
8,51.424,1.29659,1.17479,1.43301,0.62176,0.63333,0.66492,0.35943,1.44567,1.42388,1.56854,0.0017228,0.0017228,0.0017228
9,57.087,1.28252,1.16789,1.4322,0.8076,0.69959,0.83918,0.55084,1.09923,1.40751,1.31093,0.0016832,0.0016832,0.0016832
10,64.1298,1.22221,1.13216,1.40456,0.83327,0.72191,0.85024,0.5903,1.09063,1.21562,1.2949,0.0016436,0.0016436,0.0016436
11,69.6966,1.19262,1.066,1.37882,0.88134,0.78889,0.87025,0.60937,1.03109,0.91707,1.30635,0.001604,0.001604,0.001604
12,76.8464,1.1884,1.0887,1.39008,0.83059,0.81111,0.89038,0.60493,1.04984,0.95131,1.27521,0.0015644,0.0015644,0.0015644
13,82.3086,1.14508,0.98455,1.34557,0.81635,0.8,0.86854,0.63724,0.93781,0.9464,1.22779,0.0015248,0.0015248,0.0015248
14,89.4361,1.13576,1.05304,1.36971,0.7228,0.8,0.78381,0.50251,1.20948,1.22457,1.34306,0.0014852,0.0014852,0.0014852
15,94.8897,1.12704,0.99726,1.31821,0.81092,0.71485,0.82859,0.50751,1.25364,0.93251,1.34119,0.0014456,0.0014456,0.0014456
16,101.099,1.08438,0.93094,1.30932,0.72897,0.83679,0.84646,0.61935,0.99724,0.86901,1.25755,0.001406,0.001406,0.001406
17,107.44,1.08513,0.95682,1.31806,0.84611,0.79421,0.90674,0.67694,0.92105,0.81005,1.18655,0.0013664,0.0013664,0.0013664
18,112.934,1.08164,0.95259,1.31715,0.75385,0.82222,0.88451,0.66571,0.88921,0.88576,1.21889,0.0013268,0.0013268,0.0013268
19,119.948,1.05163,0.90688,1.27906,0.95012,0.75556,0.90146,0.66166,0.92049,0.76355,1.14718,0.0012872,0.0012872,0.0012872
20,125.436,1.05535,0.87092,1.28249,0.84842,0.80848,0.88621,0.66665,0.85556,0.73663,1.116,0.0012476,0.0012476,0.0012476
21,132.559,1.02072,0.86139,1.26191,0.86599,0.71805,0.85627,0.65422,0.91039,0.81766,1.17809,0.001208,0.001208,0.001208
22,138.071,1.00573,0.83332,1.25428,0.87892,0.73333,0.88327,0.67387,0.84744,0.70359,1.12162,0.0011684,0.0011684,0.0011684
23,144.906,0.99058,0.84202,1.24197,0.82599,0.85556,0.90855,0.70203,0.83957,0.70836,1.13082,0.0011288,0.0011288,0.0011288
24,150.7,1.0085,0.82498,1.2619,0.80507,0.82604,0.87768,0.66299,0.85605,0.69361,1.14088,0.0010892,0.0010892,0.0010892
25,156.759,0.98005,0.81856,1.23061,0.93783,0.76667,0.90452,0.69528,0.80981,0.66133,1.11096,0.0010496,0.0010496,0.0010496
